unit	arm	found	exact	attempts	nodes	rendered_bytes
0	stock	1	0	1798	19	109
0	structural	1	0	508	5	39
1	structural	1	0	477	5	22
1	stock	1	0	883	9	59
2	stock	1	0	783	7	85
2	structural	1	0	368	5	39
3	structural	1	0	555	5	39
3	stock	1	0	2291	21	119
4	stock	1	0	1424	19	92
4	structural	1	0	284	5	39
5	structural	1	0	602	5	39
5	stock	1	0	788	9	59
6	stock	1	0	1103	13	79
6	structural	1	0	512	5	39
7	structural	1	0	400	5	39
7	stock	1	0	860	11	69
8	stock	1	0	1884	21	119
8	structural	1	0	385	5	39
9	structural	1	0	467	5	39
9	stock	1	0	529	7	49
10	stock	1	0	1121	7	31
10	structural	1	0	577	7	49
11	structural	1	0	544	5	22
11	stock	1	0	2357	19	109
12	stock	1	0	985	11	69
12	structural	1	0	538	7	49
13	structural	1	0	511	5	39
13	stock	1	0	480	7	49
14	stock	1	0	1041	13	79
14	structural	1	0	538	7	49
15	structural	1	0	527	5	39
15	stock	1	0	1975	19	109
16	stock	1	0	947	13	62
16	structural	1	0	390	5	39
17	structural	1	0	497	7	49
17	stock	1	0	817	11	52
18	stock	1	0	530	5	39
18	structural	1	0	591	7	49
19	structural	1	0	393	5	22
19	stock	1	0	1206	13	79
20	stock	1	0	438	7	32
20	structural	1	0	620	7	49
21	structural	1	0	565	5	39
21	stock	1	0	945	11	69
22	stock	1	0	962	11	69
22	structural	1	0	546	5	39
23	structural	1	0	459	7	31
23	stock	1	0	849	7	49
24	stock	1	0	762	9	59
24	structural	1	0	557	7	49
25	structural	1	0	611	5	22
25	stock	1	0	1455	21	102
26	stock	1	0	1224	13	79
26	structural	1	0	462	7	49
27	structural	1	0	602	5	22
27	stock	1	0	457	5	39
28	stock	1	0	660	7	49
28	structural	1	0	508	5	39
29	structural	1	0	547	7	31
29	stock	1	0	717	7	49
30	stock	1	0	379	5	22
30	structural	1	0	540	7	31
31	structural	1	0	616	5	39
31	stock	1	0	374	7	32
32	stock	1	0	926	11	69
32	structural	1	0	605	5	39
33	structural	1	0	523	5	39
33	stock	1	0	697	7	49
34	stock	1	0	460	5	39
34	structural	1	0	466	5	22
35	structural	1	0	563	5	39
35	stock	1	0	1623	15	89
36	stock	1	0	440	5	39
36	structural	1	0	516	5	39
37	structural	1	0	534	5	39
37	stock	1	0	1111	13	79
38	stock	1	0	1610	19	92
38	structural	1	0	385	5	39
39	structural	1	0	572	5	39
39	stock	1	0	1071	7	49
40	stock	1	0	845	9	59
40	structural	1	0	564	5	39
41	structural	1	0	564	5	22
41	stock	1	0	614	9	42
42	stock	1	0	960	11	69
42	structural	1	0	571	5	22
43	structural	1	0	369	5	39
43	stock	1	0	1397	19	109
44	stock	1	0	475	9	42
44	structural	1	0	523	7	49
45	structural	1	0	373	5	39
45	stock	1	0	1170	9	59
46	stock	1	0	631	7	49
46	structural	1	0	167	5	22
47	structural	1	0	541	7	49
47	stock	1	0	1005	11	69
48	stock	1	0	1427	15	89
48	structural	1	0	369	5	39
49	structural	1	0	365	7	49
49	stock	1	0	803	11	69
50	stock	1	0	1055	11	69
50	structural	1	0	578	7	32
51	structural	1	0	555	7	49
51	stock	1	0	402	7	32
52	stock	1	0	899	11	69
52	structural	1	0	538	5	22
53	structural	1	0	451	5	39
53	stock	1	0	755	13	61
54	stock	1	0	514	5	39
54	structural	1	0	554	7	49
55	structural	1	0	370	5	39
55	stock	1	0	752	11	52
56	stock	1	0	1364	17	99
56	structural	1	0	324	5	22
57	structural	1	0	554	5	39
57	stock	1	0	704	5	39
58	stock	1	0	933	11	69
58	structural	1	0	559	7	49
59	structural	1	0	401	5	39
59	stock	1	0	1747	21	119
60	stock	1	0	485	5	39
60	structural	1	0	541	5	39
61	structural	1	0	563	5	22
61	stock	1	0	965	11	69
62	stock	1	0	995	9	59
62	structural	1	0	529	5	39
63	structural	1	0	543	7	49
63	stock	1	0	360	5	22
64	stock	1	0	1384	17	99
64	structural	1	0	541	7	49
65	structural	1	0	553	7	49
65	stock	1	0	1179	11	69
66	stock	1	0	409	7	32
66	structural	1	0	423	5	39
67	structural	1	0	536	7	49
67	stock	1	0	825	11	52
68	stock	1	0	262	5	22
68	structural	1	0	560	5	39
69	structural	1	1	452	5	21
69	stock	1	0	1189	15	89
70	stock	1	0	655	7	49
70	structural	1	0	364	5	39
71	structural	1	0	415	5	39
71	stock	1	0	1017	9	42
72	stock	1	0	949	11	69
72	structural	1	0	406	5	39
73	structural	1	0	513	5	39
73	stock	1	0	802	9	59
74	stock	1	0	613	7	49
74	structural	1	0	518	5	39
75	structural	1	0	522	5	39
75	stock	1	0	800	9	59
76	stock	1	0	645	11	52
76	structural	1	0	415	7	32
77	structural	1	0	522	5	22
77	stock	1	0	576	7	32
78	stock	1	1	881	5	21
78	structural	1	0	527	5	22
79	structural	1	0	507	5	22
79	stock	1	0	961	11	69
80	stock	1	0	693	7	49
80	structural	1	0	524	5	39
81	structural	1	0	533	5	39
81	stock	1	0	869	11	69
82	stock	1	0	1686	19	109
82	structural	1	0	478	5	39
83	structural	1	0	529	5	39
83	stock	1	0	610	7	49
84	stock	1	0	915	11	69
84	structural	1	0	385	5	39
85	structural	1	0	582	7	49
85	stock	1	0	981	9	41
86	stock	1	0	903	13	62
86	structural	1	0	460	5	39
87	structural	1	0	483	5	39
87	stock	1	0	1094	11	69
88	stock	1	0	612	9	59
88	structural	1	0	538	5	39
89	structural	1	0	596	5	39
89	stock	1	0	635	7	49
90	stock	1	0	708	7	49
90	structural	1	0	392	7	32
91	structural	1	0	598	5	39
91	stock	1	0	727	7	32
92	stock	1	0	1013	11	52
92	structural	1	0	548	7	32
93	structural	1	0	554	5	39
93	stock	1	0	1123	11	69
94	stock	1	0	1267	17	82
94	structural	1	0	558	7	49
95	structural	1	0	552	5	39
95	stock	1	0	654	7	49
